薬効分類コード,意味,服薬指導文章
1147,解熱鎮痛消炎剤,頭痛・発熱・炎症などの症状は改善傾向｜薬剤による胃部不快感・吐き気などの消化器症状の訴えなし｜眠気・めまいなどの副作用なく服薬継続｜体調の変化に注意しながら服薬継続｜症状の改善と副作用の有無を確認し服薬指導実施
1148,解熱鎮痛消炎剤,頭痛・発熱・炎症などの症状は改善傾向｜薬剤による胃部不快感・吐き気などの消化器症状の訴えなし｜眠気・めまいなどの副作用なく服薬継続｜体調の変化に注意しながら服薬継続｜症状の改善と副作用の有無を確認し服薬指導実施
1149,解熱鎮痛消炎剤,頭痛・発熱・炎症などの症状は改善傾向｜薬剤による胃部不快感・吐き気などの消化器症状の訴えなし｜眠気・めまいなどの副作用なく服薬継続｜体調の変化に注意しながら服薬継続｜症状の改善と副作用の有無を確認し服薬指導実施
1151,興奮剤、覚せい剤,興奮剤、覚せい剤といった分類の薬剤は、ADHD（注意欠如・多動症）などの疾患の治療に用いられることが多く、症状の改善や生活の質の向上を目的としています。そのため、服薬指導の際には、薬そのものだけでなく、患者さんの疾患や生活状況に合わせたアセスメントが重要になります。以下に、3〜5パターンのテンプレート文章を記載します。---**テンプレート文章例**ADHD症状（不注意、多動性、衝動性）の軽減が見られ、学業や社会生活への適応が良好に推移している｜興奮作用による不眠や食欲不振などの副作用訴えなく、内服継続に問題なし｜攻撃性やイライラ感などの感情の不安定さなく、精神状態は安定している｜心血管系への影響（動悸、血圧上昇など）の兆候なく、内服継続に問題なし｜日中の眠気や倦怠感の軽減により、集中力や活動性が向上し、日々の生活にハリが出てきている
1161,抗パーキンソン剤,パーキンソン病症状（振戦、動作緩慢、固縮）の改善傾向を認める｜傾眠、幻覚、口渇などの副作用なく内服継続可能｜便秘傾向の訴えなく経過良好｜規則正しい服薬が継続できている
1162,抗パーキンソン剤,パーキンソン病症状（振戦、動作緩慢、固縮）の改善傾向を認める｜傾眠、幻覚、口渇などの副作用なく内服継続可能｜便秘傾向の訴えなく経過良好｜規則正しい服薬が継続できている
1164,抗パーキンソン剤,パーキンソン病症状（振戦、動作緩慢、固縮）の改善傾向を認める｜傾眠、幻覚、口渇などの副作用なく内服継続可能｜便秘傾向の訴えなく経過良好｜規則正しい服薬が継続できている
1169,抗パーキンソン剤,パーキンソン病症状（振戦、動作緩慢、固縮）の改善傾向を認める｜傾眠、幻覚、口渇などの副作用なく内服継続可能｜便秘傾向の訴えなく経過良好｜規則正しい服薬が継続できている
1171,精神神経用剤,不眠・不安感なく過ごされており、日中の眠気やふらつきの訴えもないため、処方意図通りに効果発現している｜意欲低下や倦怠感などの精神症状の悪化なく、日常生活を問題なく送れている｜気分の波がなく安定しており、過度な興奮や抑うつ傾向も見られない｜服薬による口渇や便秘などの自覚症状はなく、継続に問題なし
1172,精神神経用剤,不眠・不安感なく過ごされており、日中の眠気やふらつきの訴えもないため、処方意図通りに効果発現している｜意欲低下や倦怠感などの精神症状の悪化なく、日常生活を問題なく送れている｜気分の波がなく安定しており、過度な興奮や抑うつ傾向も見られない｜服薬による口渇や便秘などの自覚症状はなく、継続に問題なし
1174,精神神経用剤,不眠・不安感なく過ごされており、日中の眠気やふらつきの訴えもないため、処方意図通りに効果発現している｜意欲低下や倦怠感などの精神症状の悪化なく、日常生活を問題なく送れている｜気分の波がなく安定しており、過度な興奮や抑うつ傾向も見られない｜服薬による口渇や便秘などの自覚症状はなく、継続に問題なし
1179,精神神経用剤,不眠・不安感なく過ごされており、日中の眠気やふらつきの訴えもないため、処方意図通りに効果発現している｜意欲低下や倦怠感などの精神症状の悪化なく、日常生活を問題なく送れている｜気分の波がなく安定しており、過度な興奮や抑うつ傾向も見られない｜服薬による口渇や便秘などの自覚症状はなく、継続に問題なし
1180,総合感冒剤,症状の改善傾向が見られ、継続に問題なし｜倦怠感や眠気などの副作用訴えなく経過良好｜指示通りに服用されており、治療効果に期待できる｜脱水症状などの症状出現なく継続に問題なし
1190,その他の中枢神経系用薬,不眠症状の改善傾向が見られ、日中の眠気や倦怠感の訴えなし｜睡眠薬によるふらつき、転倒リスクの増加なく安全に継続可能｜薬物依存、耐性の兆候なく良好に経過｜処方通りに服用できており、睡眠パターン安定化に寄与している
1211,局所麻酔剤,皮膚の掻痒感、発赤、腫脹などの局所的な過敏症状なし｜使用部位に疼痛、しびれ感、灼熱感などの自覚症状なし｜眠気、ふらつき、めまいなどの全身性の副作用訴えなし｜創部の感染徴候（発赤、熱感、腫脹、疼痛の増悪）なく良好に治癒傾向｜局所麻酔薬によるアレルギー歴なく、安全に処方継続可能
1212,局所麻酔剤,皮膚の掻痒感、発赤、腫脹などの局所的な過敏症状なし｜使用部位に疼痛、しびれ感、灼熱感などの自覚症状なし｜眠気、ふらつき、めまいなどの全身性の副作用訴えなし｜創部の感染徴候（発赤、熱感、腫脹、疼痛の増悪）なく良好に治癒傾向｜局所麻酔薬によるアレルギー歴なく、安全に処方継続可能
1213,局所麻酔剤,皮膚の掻痒感、発赤、腫脹などの局所的な過敏症状なし｜使用部位に疼痛、しびれ感、灼熱感などの自覚症状なし｜眠気、ふらつき、めまいなどの全身性の副作用訴えなし｜創部の感染徴候（発赤、熱感、腫脹、疼痛の増悪）なく良好に治癒傾向｜局所麻酔薬によるアレルギー歴なく、安全に処方継続可能
1214,局所麻酔剤,皮膚の掻痒感、発赤、腫脹などの局所的な過敏症状なし｜使用部位に疼痛、しびれ感、灼熱感などの自覚症状なし｜眠気、ふらつき、めまいなどの全身性の副作用訴えなし｜創部の感染徴候（発赤、熱感、腫脹、疼痛の増悪）なく良好に治癒傾向｜局所麻酔薬によるアレルギー歴なく、安全に処方継続可能
1219,局所麻酔剤,皮膚の掻痒感、発赤、腫脹などの局所的な過敏症状なし｜使用部位に疼痛、しびれ感、灼熱感などの自覚症状なし｜眠気、ふらつき、めまいなどの全身性の副作用訴えなし｜創部の感染徴候（発赤、熱感、腫脹、疼痛の増悪）なく良好に治癒傾向｜局所麻酔薬によるアレルギー歴なく、安全に処方継続可能
1224,骨格筋弛緩剤,筋弛緩作用により、肩こり・腰痛の症状緩和が期待できる｜眠気やふらつきが出現しやすいので、車の運転や危険な機械の操作は控えるよう説明済｜倦怠感や吐き気などの副作用訴えなく、指示通り内服できている｜症状の改善状況と副作用の有無を確認し、継続処方｜
1225,骨格筋弛緩剤,筋弛緩作用により、肩こり・腰痛の症状緩和が期待できる｜眠気やふらつきが出現しやすいので、車の運転や危険な機械の操作は控えるよう説明済｜倦怠感や吐き気などの副作用訴えなく、指示通り内服できている｜症状の改善状況と副作用の有無を確認し、継続処方｜
1229,骨格筋弛緩剤,筋弛緩作用により、肩こり・腰痛の症状緩和が期待できる｜眠気やふらつきが出現しやすいので、車の運転や危険な機械の操作は控えるよう説明済｜倦怠感や吐き気などの副作用訴えなく、指示通り内服できている｜症状の改善状況と副作用の有無を確認し、継続処方｜
1231,自律神経剤,動悸・ほてり感などの自律神経症状の訴えなく経過良好｜食欲・体重の変化なく服薬継続に問題なし｜下痢・便秘などの消化器症状の訴えなく経過良好｜睡眠の質に変化なく経過良好｜倦怠感・集中力低下などの訴えなく経過良好
1232,自律神経剤,動悸・ほてり感などの自律神経症状の訴えなく経過良好｜食欲・体重の変化なく服薬継続に問題なし｜下痢・便秘などの消化器症状の訴えなく経過良好｜睡眠の質に変化なく経過良好｜倦怠感・集中力低下などの訴えなく経過良好
1233,自律神経剤,動悸・ほてり感などの自律神経症状の訴えなく経過良好｜食欲・体重の変化なく服薬継続に問題なし｜下痢・便秘などの消化器症状の訴えなく経過良好｜睡眠の質に変化なく経過良好｜倦怠感・集中力低下などの訴えなく経過良好
1239,自律神経剤,動悸・ほてり感などの自律神経症状の訴えなく経過良好｜食欲・体重の変化なく服薬継続に問題なし｜下痢・便秘などの消化器症状の訴えなく経過良好｜睡眠の質に変化なく経過良好｜倦怠感・集中力低下などの訴えなく経過良好
1242,鎮痙剤,腹痛・下痢・嘔吐などの症状なく、鎮痙剤の効果を実感されている｜便通異常や腹部膨満感などの副作用なく、処方通りに内服できている｜鎮痙剤による眠気やふらつきなどの副作用の訴えなく、日常生活に支障なく過ごされている｜腹痛の頻度や程度が軽減しており、鎮痙剤の効果が良好に得られている
1243,鎮痙剤,腹痛・下痢・嘔吐などの症状なく、鎮痙剤の効果を実感されている｜便通異常や腹部膨満感などの副作用なく、処方通りに内服できている｜鎮痙剤による眠気やふらつきなどの副作用の訴えなく、日常生活に支障なく過ごされている｜腹痛の頻度や程度が軽減しており、鎮痙剤の効果が良好に得られている
1244,鎮痙剤,腹痛・下痢・嘔吐などの症状なく、鎮痙剤の効果を実感されている｜便通異常や腹部膨満感などの副作用なく、処方通りに内服できている｜鎮痙剤による眠気やふらつきなどの副作用の訴えなく、日常生活に支障なく過ごされている｜腹痛の頻度や程度が軽減しており、鎮痙剤の効果が良好に得られている
1249,鎮痙剤,腹痛・下痢・嘔吐などの症状なく、鎮痙剤の効果を実感されている｜便通異常や腹部膨満感などの副作用なく、処方通りに内服できている｜鎮痙剤による眠気やふらつきなどの副作用の訴えなく、日常生活に支障なく過ごされている｜腹痛の頻度や程度が軽減しており、鎮痙剤の効果が良好に得られている
1259,発汗剤、止汗剤,発汗異常の訴えなく安定して経過している｜薬剤による体調の変化や不快感の訴えなく継続に問題なし｜服薬による特段の副作用の自覚症状なく順調に経過している｜日常生活において発汗状態の大きな変化は見られず良好である
1290,その他の末梢神経系用薬,末梢神経症状の悪化や新たな痺れ等の訴えなく経過良好｜服用による眠気やふらつきの自覚症状なく継続に問題なし｜治療部位の神経痛症状は安定しており服用を継続｜日中の過度な眠気等の副作用症状を認めず経過良好
1311,眼科用剤,眼圧は安定しており、点眼の継続に問題なし｜充血、痛み、異物感などの副作用訴えなし｜点眼薬の残量確認と適切な使用方法の指導を実施｜点眼忘れなく、順調に経過｜ドライアイ症状の増悪なく、使用継続に問題なし
1312,眼科用剤,眼圧は安定しており、点眼の継続に問題なし｜充血、痛み、異物感などの副作用訴えなし｜点眼薬の残量確認と適切な使用方法の指導を実施｜点眼忘れなく、順調に経過｜ドライアイ症状の増悪なく、使用継続に問題なし
1313,眼科用剤,眼圧は安定しており、点眼の継続に問題なし｜充血、痛み、異物感などの副作用訴えなし｜点眼薬の残量確認と適切な使用方法の指導を実施｜点眼忘れなく、順調に経過｜ドライアイ症状の増悪なく、使用継続に問題なし
1314,眼科用剤,眼圧は安定しており、点眼の継続に問題なし｜充血、痛み、異物感などの副作用訴えなし｜点眼薬の残量確認と適切な使用方法の指導を実施｜点眼忘れなく、順調に経過｜ドライアイ症状の増悪なく、使用継続に問題なし
1315,眼科用剤,眼圧は安定しており、点眼の継続に問題なし｜充血、痛み、異物感などの副作用訴えなし｜点眼薬の残量確認と適切な使用方法の指導を実施｜点眼忘れなく、順調に経過｜ドライアイ症状の増悪なく、使用継続に問題なし
1316,眼科用剤,眼圧は安定しており、点眼の継続に問題なし｜充血、痛み、異物感などの副作用訴えなし｜点眼薬の残量確認と適切な使用方法の指導を実施｜点眼忘れなく、順調に経過｜ドライアイ症状の増悪なく、使用継続に問題なし
1317,眼科用剤,眼圧は安定しており、点眼の継続に問題なし｜充血、痛み、異物感などの副作用訴えなし｜点眼薬の残量確認と適切な使用方法の指導を実施｜点眼忘れなく、順調に経過｜ドライアイ症状の増悪なく、使用継続に問題なし
1319,眼科用剤,眼圧は安定しており、点眼の継続に問題なし｜充血、痛み、異物感などの副作用訴えなし｜点眼薬の残量確認と適切な使用方法の指導を実施｜点眼忘れなく、順調に経過｜ドライアイ症状の増悪なく、使用継続に問題なし
1324,耳鼻科用剤,耳の詰まり感、聞こえにくさの軽減を自覚されており、継続に問題なし｜鼻閉、鼻汁の改善を自覚されており、継続に問題なし｜咽頭痛、嚥下困難の改善を自覚されており、継続に問題なし｜めまい、耳鳴りの軽減を自覚されており、継続に問題なし
1325,耳鼻科用剤,耳の詰まり感、聞こえにくさの軽減を自覚されており、継続に問題なし｜鼻閉、鼻汁の改善を自覚されており、継続に問題なし｜咽頭痛、嚥下困難の改善を自覚されており、継続に問題なし｜めまい、耳鳴りの軽減を自覚されており、継続に問題なし
1329,耳鼻科用剤,耳の詰まり感、聞こえにくさの軽減を自覚されており、継続に問題なし｜鼻閉、鼻汁の改善を自覚されており、継続に問題なし｜咽頭痛、嚥下困難の改善を自覚されており、継続に問題なし｜めまい、耳鳴りの軽減を自覚されており、継続に問題なし
1331,鎮暈剤,めまいやふらつきの再発なく落ち着いて経過している｜立ちくらみ等の症状は改善しており服薬状況も良好である｜眠気や口渇などの副作用の出現はなく安定して継続できている｜症状の安定に伴い医師の指示通り順調に服用できている
1339,鎮暈剤,めまいやふらつきの再発なく落ち着いて経過している｜立ちくらみ等の症状は改善しており服薬状況も良好である｜眠気や口渇などの副作用の出現はなく安定して継続できている｜症状の安定に伴い医師の指示通り順調に服用できている
1390,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
1900,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
2113,強心剤,動悸や息切れの増悪なく経過良好｜胸部不快感などの自覚症状なく安定して継続中｜めまいや吐き気などの副作用の訴えなく服用できている｜心不全症状の増悪を認めず現状の用法用量で継続｜食欲不振や脈の乱れなどの自覚症状なく経過良好
2115,強心剤,動悸や息切れの増悪なく経過良好｜胸部不快感などの自覚症状なく安定して継続中｜めまいや吐き気などの副作用の訴えなく服用できている｜心不全症状の増悪を認めず現状の用法用量で継続｜食欲不振や脈の乱れなどの自覚症状なく経過良好
2119,強心剤,動悸や息切れの増悪なく経過良好｜胸部不快感などの自覚症状なく安定して継続中｜めまいや吐き気などの副作用の訴えなく服用できている｜心不全症状の増悪を認めず現状の用法用量で継続｜食欲不振や脈の乱れなどの自覚症状なく経過良好
2121,不整脈用剤,不整脈の症状（動悸、息切れ、めまい等）は出現せず、日常生活に支障なし｜指示通りに服用されており、残薬も特になし｜現時点では副作用（吐き気、下痢、眠気等）の訴えなく、服薬継続に問題なし｜定期的な通院と検査で、心電図の変化や血圧の変動がないか注意していく
2122,不整脈用剤,不整脈の症状（動悸、息切れ、めまい等）は出現せず、日常生活に支障なし｜指示通りに服用されており、残薬も特になし｜現時点では副作用（吐き気、下痢、眠気等）の訴えなく、服薬継続に問題なし｜定期的な通院と検査で、心電図の変化や血圧の変動がないか注意していく
2123,不整脈用剤,不整脈の症状（動悸、息切れ、めまい等）は出現せず、日常生活に支障なし｜指示通りに服用されており、残薬も特になし｜現時点では副作用（吐き気、下痢、眠気等）の訴えなく、服薬継続に問題なし｜定期的な通院と検査で、心電図の変化や血圧の変動がないか注意していく
2129,不整脈用剤,不整脈の症状（動悸、息切れ、めまい等）は出現せず、日常生活に支障なし｜指示通りに服用されており、残薬も特になし｜現時点では副作用（吐き気、下痢、眠気等）の訴えなく、服薬継続に問題なし｜定期的な通院と検査で、心電図の変化や血圧の変動がないか注意していく
2132,利尿剤,浮腫の改善傾向が見られ自覚症状も安定している｜夜間のトイレ回数に大きな変化なく経過良好｜めまいやふらつき等の低血圧症状なく継続に問題なし｜尿量の変動や脱水症状などもなく安定して服用中｜血圧コントロール良好で浮腫の悪化も認められず継続可能
2133,利尿剤,浮腫の改善傾向が見られ自覚症状も安定している｜夜間のトイレ回数に大きな変化なく経過良好｜めまいやふらつき等の低血圧症状なく継続に問題なし｜尿量の変動や脱水症状などもなく安定して服用中｜血圧コントロール良好で浮腫の悪化も認められず継続可能
2134,利尿剤,浮腫の改善傾向が見られ自覚症状も安定している｜夜間のトイレ回数に大きな変化なく経過良好｜めまいやふらつき等の低血圧症状なく継続に問題なし｜尿量の変動や脱水症状などもなく安定して服用中｜血圧コントロール良好で浮腫の悪化も認められず継続可能
2135,利尿剤,浮腫の改善傾向が見られ自覚症状も安定している｜夜間のトイレ回数に大きな変化なく経過良好｜めまいやふらつき等の低血圧症状なく継続に問題なし｜尿量の変動や脱水症状などもなく安定して服用中｜血圧コントロール良好で浮腫の悪化も認められず継続可能
2139,利尿剤,浮腫の改善傾向が見られ自覚症状も安定している｜夜間のトイレ回数に大きな変化なく経過良好｜めまいやふらつき等の低血圧症状なく継続に問題なし｜尿量の変動や脱水症状などもなく安定して服用中｜血圧コントロール良好で浮腫の悪化も認められず継続可能
2142,血圧降下剤,血圧は安定しており自覚症状なく経過良好｜めまいやふらつきなどの副作用徴候を認めず継続に問題なし｜服薬による体調の変化はなく良好な服薬状況が継続されている｜血圧測定を日課とされており数値の大きな変動も確認されず安定している｜頭痛や顔のほてりなどの訴えもなく忍容性に問題なし
2143,血圧降下剤,血圧は安定しており自覚症状なく経過良好｜めまいやふらつきなどの副作用徴候を認めず継続に問題なし｜服薬による体調の変化はなく良好な服薬状況が継続されている｜血圧測定を日課とされており数値の大きな変動も確認されず安定している｜頭痛や顔のほてりなどの訴えもなく忍容性に問題なし
2144,血圧降下剤,血圧は安定しており自覚症状なく経過良好｜めまいやふらつきなどの副作用徴候を認めず継続に問題なし｜服薬による体調の変化はなく良好な服薬状況が継続されている｜血圧測定を日課とされており数値の大きな変動も確認されず安定している｜頭痛や顔のほてりなどの訴えもなく忍容性に問題なし
2145,血圧降下剤,血圧は安定しており自覚症状なく経過良好｜めまいやふらつきなどの副作用徴候を認めず継続に問題なし｜服薬による体調の変化はなく良好な服薬状況が継続されている｜血圧測定を日課とされており数値の大きな変動も確認されず安定している｜頭痛や顔のほてりなどの訴えもなく忍容性に問題なし
2149,血圧降下剤,血圧は安定しており自覚症状なく経過良好｜めまいやふらつきなどの副作用徴候を認めず継続に問題なし｜服薬による体調の変化はなく良好な服薬状況が継続されている｜血圧測定を日課とされており数値の大きな変動も確認されず安定している｜頭痛や顔のほてりなどの訴えもなく忍容性に問題なし
2160,血管収縮剤,鼻閉や鼻汁などの症状は落ち着いており薬剤の効果が発現している｜鼻粘膜の過度な乾燥や刺激感などの副作用症状はなく経過良好｜用法用量を遵守し症状改善に伴い適宜減量しながら使用できている｜動悸や頭痛などの交感神経刺激による副作用症状は認められず継続に問題なし
2171,血管拡張剤,血圧は安定して推移しており服薬継続によるコントロール良好である｜めまいやふらつきなどの自覚症状はなく安定して継続できている｜血管拡張作用に伴う頭痛や顔のほてりなどの訴えなく経過は良好である｜低血圧症状を認めず体調も安定しており継続に問題なし
2172,血管拡張剤,血圧は安定して推移しており服薬継続によるコントロール良好である｜めまいやふらつきなどの自覚症状はなく安定して継続できている｜血管拡張作用に伴う頭痛や顔のほてりなどの訴えなく経過は良好である｜低血圧症状を認めず体調も安定しており継続に問題なし
2179,血管拡張剤,血圧は安定して推移しており服薬継続によるコントロール良好である｜めまいやふらつきなどの自覚症状はなく安定して継続できている｜血管拡張作用に伴う頭痛や顔のほてりなどの訴えなく経過は良好である｜低血圧症状を認めず体調も安定しており継続に問題なし
2183,高脂血症用剤,食事療法や運動療法を継続し、特段の副作用の訴えもなく経過良好｜血液検査の結果を待ちつつ継続服用による脂質管理を継続｜消化器症状や筋肉痛などの自覚症状はなく安定して継続中｜服薬の飲み忘れなく自己管理ができており継続に問題なし｜生活習慣の改善を継続しつつ、引き続き同量にて服用を継続する
2189,高脂血症用剤,食事療法や運動療法を継続し、特段の副作用の訴えもなく経過良好｜血液検査の結果を待ちつつ継続服用による脂質管理を継続｜消化器症状や筋肉痛などの自覚症状はなく安定して継続中｜服薬の飲み忘れなく自己管理ができており継続に問題なし｜生活習慣の改善を継続しつつ、引き続き同量にて服用を継続する
2190,その他の循環器官用薬,動悸や息切れ等の自覚症状はなく安定して経過している｜治療目標値に向けて大きな変動なく推移している｜循環器症状の悪化を認めず服薬継続に問題ない｜日々の体調変化は安定しており良好に維持されている
2213,呼吸促進剤,呼吸状態は安定しており息切れ等の自覚症状なし｜特段の副作用の訴えはなく指示通り服用できている｜咳や呼吸困難などの悪化傾向はなく経過良好｜動悸や手の震え等の副作用症状なく安定して継続中
2219,呼吸促進剤,呼吸状態は安定しており息切れ等の自覚症状なし｜特段の副作用の訴えはなく指示通り服用できている｜咳や呼吸困難などの悪化傾向はなく経過良好｜動悸や手の震え等の副作用症状なく安定して継続中
2221,鎮咳剤,咳の回数は減少傾向にあり服薬継続で経過を観察する｜日中の咳き込みが落ち着いており症状は改善傾向である｜痰の切れは良好で呼吸器症状の悪化は認められない｜夜間の咳込みも緩和されており睡眠は確保できている
2222,鎮咳剤,咳の回数は減少傾向にあり服薬継続で経過を観察する｜日中の咳き込みが落ち着いており症状は改善傾向である｜痰の切れは良好で呼吸器症状の悪化は認められない｜夜間の咳込みも緩和されており睡眠は確保できている
2223,鎮咳剤,咳の回数は減少傾向にあり服薬継続で経過を観察する｜日中の咳き込みが落ち着いており症状は改善傾向である｜痰の切れは良好で呼吸器症状の悪化は認められない｜夜間の咳込みも緩和されており睡眠は確保できている
2224,鎮咳剤,咳の回数は減少傾向にあり服薬継続で経過を観察する｜日中の咳き込みが落ち着いており症状は改善傾向である｜痰の切れは良好で呼吸器症状の悪化は認められない｜夜間の咳込みも緩和されており睡眠は確保できている
2229,鎮咳剤,咳の回数は減少傾向にあり服薬継続で経過を観察する｜日中の咳き込みが落ち着いており症状は改善傾向である｜痰の切れは良好で呼吸器症状の悪化は認められない｜夜間の咳込みも緩和されており睡眠は確保できている
2231,去たん剤,たんの切れが良くなり呼吸が楽になっていることを確認｜痰の色や性状の変化はなく経過良好｜喉の不快感や吐き気などの消化器症状なく服用継続可能｜服薬により気道分泌物が調整され症状が改善傾向にある
2232,去たん剤,たんの切れが良くなり呼吸が楽になっていることを確認｜痰の色や性状の変化はなく経過良好｜喉の不快感や吐き気などの消化器症状なく服用継続可能｜服薬により気道分泌物が調整され症状が改善傾向にある
2233,去たん剤,たんの切れが良くなり呼吸が楽になっていることを確認｜痰の色や性状の変化はなく経過良好｜喉の不快感や吐き気などの消化器症状なく服用継続可能｜服薬により気道分泌物が調整され症状が改善傾向にある
