成分コード,意味,服薬指導文章
1119702,セボフルラン,麻酔導入後の覚醒・意識レベルは問題なく経過良好である｜術後の悪心・嘔吐等の自覚症状の出現なく安定している｜麻酔関連の副作用や体調不良の訴えなく経過順調である｜全身麻酔施行後のバイタルサイン安定しており特記すべき異常は認められない
1119703,デスフルラン,吸入麻酔薬のため術中術後の状況を確認し悪心嘔吐などの副作用発現なし｜麻酔覚醒後の不快感や頭痛等の訴えなく経過は良好である｜術後の呼吸状態に異常なく安定して経過している｜麻酔からの回復も順調であり投与に伴う特異的な副作用は認められない
1121001,ブロモバレリル尿素,眠気やふらつきなどの副作用の訴えはなく安定して経過している｜日中の過度な眠気やふらつきの出現なく服用を継続できている｜精神的な落ち着きが得られており副作用症状による支障は見られない｜眠気の発現に注意を促し服用後の自動車運転等は控えるよう改めて指導した
1123001,抱水クロラール,入眠までにかかる時間や中途覚醒の状況に大きな変化なく経過は安定している｜翌朝の持ち越し効果による眠気やふらつきの訴えなく服用継続に問題なし｜過度な鎮静やふらつき等の自覚症状なく常用量にて継続良好｜夜間の入眠状況は安定しており特段の副作用の兆候も見られない
1123700,抱水クロラール,入眠までにかかる時間や中途覚醒の状況に大きな変化なく経過は安定している｜翌朝の持ち越し効果による眠気やふらつきの訴えなく服用継続に問題なし｜過度な鎮静やふらつき等の自覚症状なく常用量にて継続良好｜夜間の入眠状況は安定しており特段の副作用の兆候も見られない
1124001,エスタゾラム,日中の眠気や持ち越し効果などの自覚症状なく経過良好｜ふらつきや転倒のリスクとなるような症状なく安定している｜特段の副作用の訴えなく、指示通り服用し睡眠状況も改善傾向｜筋弛緩作用による脱力感などの訴えなく問題なく継続中
1124002,フルラゼパム塩酸塩,日中の眠気やふらつきの訴えなく服用継続できている｜持ち越し効果による日中の倦怠感等の自覚症状はなく経過良好｜特段の副作用症状の発現なく順調に服用できている｜翌朝への眠気や持ち越し感の訴えはなく安定して経過している
1124003,ニトラゼパム,翌朝の持ち越し効果や眠気などの自覚症状なく経過良好｜ふらつきや転倒などの副作用訴えなく服用継続に問題なし｜日中の過度な眠気やふらつき等の訴えなく安定して服用中｜ふらつき等の副作用兆候を認めず常用量にて経過良好
1124005,ハロキサゾラム,日中の過度な眠気やふらつきの訴えなく服用継続中｜特段の副作用症状の訴えなく、翌朝の持ち越し効果も自覚なし｜服用による倦怠感やふらつきなどの症状は認められず経過良好｜ふらつきや眠気による日常生活への支障はなく順調に服用できている
1124007,トリアゾラム,ふらつきや転倒の訴えなく経過良好｜翌朝の眠気や持ち越し効果の自覚なく適切に服用中｜服用後の健忘や異常行動の出現なく服用継続に支障なし｜入眠困難が改善され睡眠リズムは安定している
1124008,フルニトラゼパム,翌朝の眠気やふらつき等の自覚症状はなく服薬継続に問題なし｜日中の持ち越し効果や過度な眠気の出現なく経過良好｜ふらつきによる転倒の訴えなく服用量・タイミングともに安定している｜服用後の眠気や翌朝の倦怠感等の副作用症状なく安定して経過している
1124009,ブロチゾラム,眠気や持ち越し効果などの訴えなく経過良好｜ふらつきや転倒などの副作用症状は認められず継続に問題なし｜日中の過度な眠気や倦怠感はなく服用状況も良好｜服用後速やかに就寝できており持ち越し効果の訴えなし
1124010,ロルメタゼパム,ふらつきや眠気の持ち越しなく経過良好｜過度な鎮静や日中の眠気なく問題なく服用中｜起床時の頭重感やふらつき等の自覚症状なし｜ふらつきによる転倒の訴えなく継続に問題なし
1124013,オキサゾラム,眠気やふらつきの訴えなく日常生活を送られている｜日中の過度な眠気や倦怠感の発現はなく安定して服用中｜ふらつきによる転倒等の副作用兆候は認められず問題なく経過している｜服用後も意識の混濁やふらつき等の症状なく安定して継続中
1124014,クロキサゾラム,眠気やふらつきなどの自覚症状なく安定して経過している｜日中の過度な眠気やふらつきの出現なく安全に継続できている｜精神的な落ち着きが得られており副作用の訴えもなく経過良好｜眠気による転倒やふらつき等の訴えなく日常生活に支障なく継続中
1124015,クロラゼプ酸二カリウム,眠気やふらつきなどの自覚症状なく経過良好｜日中の過度な眠気やふらつき等の副作用兆候は認められない｜服用後の眠気による支障なく安定して継続中｜ふらつきによる転倒の徴候なく適切に服用できている
1124017,ジアゼパム,眠気やふらつきなどの副作用の訴えなく経過良好｜日中の過度な眠気やふらつき等の症状なく安定して継続中｜起床時のふらつきや持ち越し効果等の副作用なく問題なく経過｜依存性や耐性などの懸念点なく処方通り継続を確認
1124020,ブロマゼパム,眠気やふらつきなどの副作用の訴えなく順調に継続されている｜日中の過度な眠気や倦怠感の発現なく安定して経過している｜ふらつきによる転倒の危険性も認められず継続に問題なし｜日中の眠気等による日常生活への支障はなく安定して服用できている
1124021,メダゼパム,眠気やふらつきなどの自覚症状なく安定して経過されている｜日中の眠気や倦怠感の訴えなく服用継続に支障なし｜ふらつきによる転倒の兆候なく順調に服用されている｜過度な鎮静作用の発現なく日中の活動性に問題は見られない
1124022,ロラゼパム,眠気やふらつきなどの自覚症状なく安定して経過されている｜日中の過度な眠気やふらつきの出現なく安全に継続中｜ふらつきによる転倒の兆候などはなく慎重に服薬継続されている｜過度な鎮静作用や持ち越し効果の訴えはなく問題なく継続できている
1124023,アルプラゾラム,日中の眠気やふらつきの訴えなく経過良好｜過度な鎮静や集中力低下の兆候は見られず安定して服用中｜服用によるふらつきや転倒のリスクはなく安全に継続できている｜日中の倦怠感などの副作用訴えなく問題なく経過している
1124024,フルタゾラム,眠気やふらつきなどの自覚症状なく経過良好｜日中の過度な眠気やふらつき等の副作用なく服薬継続できている｜日中の持ち越し効果等の副作用の訴えなく問題なく経過している｜意欲低下や眠気などの副作用の発現なく服薬遵守できている
1124025,メキサゾラム,眠気やふらつきなどの副作用の訴えなく服用できている｜日中の過度な眠気や倦怠感の発現なく経過良好｜ふらつきによる転倒リスクの徴候は見られず安定している｜精神的な緊張感の緩和が見られ服薬効果が維持されている
1124026,トフィソパム,日中の眠気やだるさなどの自覚症状なく安定して経過している｜ふらつきや立ちくらみの訴えなく安全に服用できている｜口の渇きや便秘等の副作用症状は認められず継続に問題なし｜症状の大きな変動はなく服薬による体調の悪化も見られない
1124028,クロルジアゼポキシド,眠気やふらつきの訴えなく日常生活に支障なく経過されている｜日中の過度な眠気や倦怠感の発現なく継続使用に問題なし｜ふらつきによる転倒の兆候なく安全に服用できている｜ふらつきや眠気による影響はなく服薬状況良好である
1124029,ロフラゼプ酸エチル,日中の過度な眠気やふらつきの訴えなく経過良好｜起床時の持ち越し効果を認めず安定して服用中｜ふらつきによる転倒リスクの徴候なく生活できている｜漫然とした長期連用とならないよう継続の必要性を確認中
1124030,クアゼパム,翌朝の眠気やふらつき等の自覚症状はなく経過良好｜日中の眠気等の訴えなく安定して服用できている｜過度な鎮静やふらつき等の副作用の出現は見られず継続に問題なし｜特段の副作用の訴えなく入眠もスムーズで経過は安定している
1124400,フルニトラゼパム,翌朝の眠気やふらつき等の自覚症状はなく服薬継続に問題なし｜日中の持ち越し効果や過度な眠気の出現なく経過良好｜ふらつきによる転倒の訴えなく服用量・タイミングともに安定している｜服用後の眠気や翌朝の倦怠感等の副作用症状なく安定して経過している
1124401,ミダゾラム,過度な眠気やふらつきの訴えなく日常生活を送られている｜呼吸抑制や意識レベルの低下などの副作用徴候を認めず経過良好｜口腔内乾燥や構音障害などの自覚症状なく安定して継続できている｜日中の過度な眠気などの持ち越し効果なく経過良好
1124402,ジアゼパム,眠気やふらつきなどの副作用の訴えなく経過良好｜日中の過度な眠気やふらつき等の症状なく安定して継続中｜起床時のふらつきや持ち越し効果等の副作用なく問題なく経過｜依存性や耐性などの懸念点なく処方通り継続を確認
1124700,ブロマゼパム,眠気やふらつきなどの副作用の訴えなく順調に継続されている｜日中の過度な眠気や倦怠感の発現なく安定して経過している｜ふらつきによる転倒の危険性も認められず継続に問題なし｜日中の眠気等による日常生活への支障はなく安定して服用できている
1124701,ジアゼパム,眠気やふらつきなどの副作用の訴えなく経過良好｜日中の過度な眠気やふらつき等の症状なく安定して継続中｜起床時のふらつきや持ち越し効果等の副作用なく問題なく経過｜依存性や耐性などの懸念点なく処方通り継続を確認
1125001,アモバルビタール,ふらつきや眠気等の副作用症状の訴えなく服用継続中｜服用後の過度な持ち越し効果は認められず経過良好｜精神安定効果が得られており日中の活動性に問題なし｜指示通りの服用で睡眠リズムが整っており安定して経過している
1125002,バルビタール,眠気やふらつきなどの副作用の訴えなく経過良好｜過度な鎮静や日中の眠気なく問題なく服用継続中｜ふらつきによる転倒等の訴えなく安全に服用できている｜過度な眠気等の副作用認めず継続に問題なし
1125003,フェノバルビタール,眠気やふらつきなどの自覚症状なく安定して経過している｜精神面や運動機能の低下は見られず副作用の発現は認められない｜用法用量遵守できており発作のコントロールは良好である｜ふらつきや眠気による日常生活への支障はなく継続に問題ない
1125004,フェノバルビタール,眠気やふらつきなどの自覚症状なく安定して経過している｜精神面や運動機能の低下は見られず副作用の発現は認められない｜用法用量遵守できており発作のコントロールは良好である｜ふらつきや眠気による日常生活への支障はなく継続に問題ない
1125006,ペントバルビタールカルシウム,睡眠導入効果に問題なく日中の眠気等の持ち越しも見られず継続できている｜入眠困難や中途覚醒等の訴えなく安定して経過している｜ふらつきや転倒等の副作用兆候は見られず安全に使用できている｜服薬後の眠気出現は適切であり日常生活への支障なく経過良好
1125402,フェノバルビタール,眠気やふらつきなどの自覚症状なく安定して経過している｜精神面や運動機能の低下は見られず副作用の発現は認められない｜用法用量遵守できており発作のコントロールは良好である｜ふらつきや眠気による日常生活への支障はなく継続に問題ない
1125700,フェノバルビタールナトリウム,眠気やふらつきなどの副作用発現なく経過良好｜過度な鎮静や日中の傾眠傾向なく服用継続に支障なし｜てんかん発作の頻度に変化なく安定して経過している｜ふらつきによる転倒の訴えなく服用継続に問題なし
1126001,臭化カリウム,てんかん発作の頻度に変化なく発作抑制効果は安定している｜眠気やふらつきなどの自覚症状なく服用継続に問題なし｜用法用量を遵守し飲み忘れなく規則正しく内服できている｜特記すべき有害事象の訴えなく治療計画通り継続中
1126002,臭化ナトリウム,てんかん発作の頻度に変化なく経過良好｜眠気やふらつき等の自覚症状なく安定して継続中｜服薬忘れなく規則正しい内服が維持されている｜副作用の訴えはなく薬物血中濃度も安定していると考えられる｜発作の出現なく日常生活において支障は見られない
1129004,トリクロホスナトリウム,服用後の眠気や翌朝の持ち越し感の訴えなく良好に経過している｜服用によるふらつきや転倒の報告なく安全に継続できている｜日中の過度な眠気やふらつきの訴えなく睡眠リズムは安定している｜特有の苦味による服用困難感の訴えなく継続できている
1129006,リルマザホン塩酸塩水和物,眠気やふらつきの訴えなく安定して経過している｜持ち越し効果による日中の眠気等なく問題なく服用できている｜過度な鎮静やふらつき等の副作用症状は認められず安全に継続できている｜服薬により不眠症状が改善し安定して過ごせている｜ふらつき等の自覚症状なく就寝前のルーチンとして定着している
1129007,ゾピクロン,翌朝の眠気やふらつきの訴えなく服用できている｜苦味や口内の違和感などの自覚症状なく継続中｜日中の眠気や持ち越し効果の訴えなく経過良好｜入眠困難の改善が見られ服薬による副作用も認められない
1129008,タンドスピロンクエン酸塩,眠気やふらつきなどの自覚症状なく経過良好｜飲み忘れなく規則正しく服用継続中｜日中の眠気や倦怠感などの訴えなく安定して経過｜服用による副作用症状の出現なく継続に問題なし
1129009,ゾルピデム酒石酸塩,翌朝の眠気やふらつき等の自覚症状はなく服薬に問題なし｜日中の過度な眠気やふらつきの訴えなく服用継続に支障なし｜入眠困難に対して適切に作用しており副作用等の訴えなく経過良好｜服薬による持ち越し効果や日中の眠気などの訴えなく順調に継続中
1129010,エスゾピクロン,入眠困難の改善が見られ中途覚醒もなく経過良好｜眠気やふらつきの訴えなく日常生活に支障なし｜翌朝の持ち越し感や日中の眠気なく問題なく継続中｜苦味などの自覚症状なく服薬を継続できている
1129400,デクスメデトミジン塩酸塩,傾眠や鎮静作用に伴う過度の眠気などの訴えなく経過良好｜徐脈や低血圧などの副作用の徴候認められず安定している｜点滴施行中のモニタリング異常なく計画通りに継続されている｜口渇等の自覚症状の訴えなく問題なく経過している
1131001,アセチルフェネトライド,てんかん発作の頻度に変化なく経過良好である｜傾眠やふらつきなどの副作用症状の出現なく継続に問題なし｜発疹や痒みなどの過敏症状の出現なく安定して継続できている｜服薬継続により発作抑制効果が得られており良好にコントロールされている
1132001,エトトイン,発作の頻度に変化なく経過は安定している｜眠気やふらつきなどの自覚症状は認められず継続に問題なし｜発疹や皮膚症状の出現なく副作用の兆候なし｜食欲不振や消化器症状の訴えなく服用は継続できている
1132002,フェニトイン,発作の再発なく安定して経過している｜眠気やふらつきなどの自覚症状なく継続できている｜歯肉の腫れや出血などの副作用の兆候は見られず服薬状況も良好｜定期的な服用を継続し発作頻度はコントロールされている
1132400,フェニトインナトリウム,発作の再発なく安定して経過している｜歯肉肥厚や発疹などの副作用兆候なく継続に問題なし｜眠気やふらつきの訴えなく日常生活を送られている｜服用継続による発作抑制効果が認められ現状維持とする｜定期的な血中濃度確認を行いながら服薬継続に努めている
1132401,ホスフェニトインナトリウム水和物,過敏症や皮膚症状の出現なく順調に継続されている｜不整脈や心機能低下を疑う症状なく経過良好｜注射部位の腫れや痛みなどの局所症状なく安定して経過｜眠気やふらつきなどの自覚症状の訴えなく継続に支障なし
1133002,トリメタジオン,発作の出現なく経過しており安定している｜眠気やふらつきなどの自覚症状なく継続に問題なし｜服薬コンプライアンス良好で発作抑制効果が維持されている｜副作用の訴えなく日常生活にも支障なく過ごされている
1135002,プリミドン,眠気やふらつきなどの自覚症状なく安定して経過されている｜発疹や頭痛などの副作用症状の訴えなく継続に問題なし｜特段の体調変化や副作用の兆候は見られず服用は順調｜ふらつきや運動失調などの神経系副作用の出現なく良好に経過されている
1137001,スルチアム,てんかん発作の頻度や状況に大きな変化なく経過良好｜眠気やふらつきなどの副作用症状の訴えなく継続に問題なし｜食欲不振や体重減少などの自覚症状なく安定して服用継続中｜めまいや手足のしびれなどの違和感なく経過観察中
1139001,エトスクシミド,眠気やふらつきなどの自覚症状なく経過良好｜発疹やかゆみなどの皮膚症状の出現なく継続に問題なし｜食欲不振や胃部不快感などの消化器症状なく安定して服用できている｜ふらつきや眠気による日常生活への支障はなく服薬継続できている
1139002,カルバマゼピン,てんかん発作の頻度や強さに大きな変化はなく経過は安定している｜眠気やふらつきなどの自覚症状は見られず服薬継続に問題なし｜発疹や皮膚症状などの副作用の発現はなく服薬遵守できている｜発作抑制効果は良好であり現在の用法用量で継続可能である
1139003,クロナゼパム,眠気やふらつきなどの自覚症状なく経過良好｜日中の過度な眠気やふらつきの訴えなく安定して服用継続中｜服用後の眠気による体調変化なく問題なく継続｜ふらつきによる転倒の訴えなく安定して経過中
1139004,バルプロ酸ナトリウム,てんかん発作の頻度や重症度の変化なく安定して経過されている｜日中の眠気やふらつきの訴えなく継続服用に問題なし｜発作コントロールは良好であり服薬遵守により症状の安定が維持されている｜食欲不振や消化器症状の出現なく副作用の兆候は見られない｜血液検査値の推移に特段の異常を認めず服薬継続による状態安定を確認
1139005,ゾニサミド,発作の出現なく経過は安定しており継続に問題なし｜眠気や食欲不振などの副作用の訴えなく服用継続中｜めまいやふらつきなどの自覚症状なく安定して継続されている｜体重減少や発疹などの副作用兆候なく良好に経過している
1139006,クロバザム,眠気やふらつきの出現なく日中も落ち着いて過ごされている｜てんかん発作の頻度に変化なく安定して経過している｜服用による過度な鎮静傾向は見られず生活リズムも維持されている｜ふらつきによる転倒等のトラブルなく安全に服薬継続できている
1139007,ガバペンチン,眠気やふらつきなどの副作用出現なく経過良好｜頭痛やめまいなどの自覚症状なく安定して継続中｜末梢神経障害に伴う痛みやしびれの変化なく良好に継続｜眠気による日常生活への支障はなく服薬継続可能
1139008,トピラマート,てんかん発作の頻度は落ち着いており症状は安定している｜傾眠やめまいなどの副作用訴えなく順調に服用できている｜発作の再発なく服薬の継続による治療効果が維持されている｜認知機能への影響や集中力低下などの自覚症状なく経過良好
1139009,ラモトリギン,発疹や皮膚症状の出現なく副作用は認めない｜めまいや眠気等の自覚症状はなく経過良好｜用法用量通り服用できており良好に維持されている｜皮疹等の皮膚異常の徴候はなく継続に支障なし
1139010,レベチラセタム,てんかん発作の再発なく経過は安定している｜眠気やふらつきなどの副作用症状の出現なく継続に問題なし｜発作コントロールは良好であり服薬遵守も維持されている｜異常なイライラや攻撃性などの精神症状の出現なく経過良好｜発作の頻度に変化なく現在の服用量で安定して推移している
1139011,スチリペントール,てんかん発作の回数や重症度に大きな変化はなく経過は安定している｜眠気や食欲不振などの副作用の出現はなく継続に問題ない｜服用継続により発作抑制効果が得られており良好にコントロールされている｜他剤との併用による相互作用の影響や体調変化は認められず適切に服用されている
1139012,ルフィナミド,眠気やふらつきなどの副作用発現なく安定して経過している｜てんかん発作の頻度や重篤化に変化なく治療計画通り継続できている｜傾眠やめまいなどの自覚症状なく体調に問題は見られない｜発作コントロールは良好であり副作用等の訴えも特になく継続使用とする
1139013,ビガバトリン,視野狭窄や視力障害などの副作用症状なく経過良好｜眠気やふらつきなどの自覚症状なく継続に問題なし｜服薬による中枢神経系への悪影響を示す兆候はなく安定している｜行動の変化や興奮などの精神症状の発現なく落ち着いて過ごされている
1139014,ペランパネル水和物,眠気やふらつきなどの自覚症状なく安定して経過している｜易刺激性や攻撃性などの精神症状の出現を認めず安定して服用中｜めまいや歩行時のふらつきなく副作用の発現は認められない｜傾眠傾向などの副作用の訴えなく日常生活を送れている
1139015,ラコサミド,眠気やめまい等の副作用の訴えなく服用継続中｜発疹等の皮膚症状や体調変化なく経過は良好｜ふらつきや歩行障害などなく安定して経過している｜めまいや傾眠などの自覚症状なく忍容性に問題なし
1139016,フェンフルラミン塩酸塩,眠気や食欲不振などの副作用の訴えなく継続に問題なし｜口渇や便秘等の症状出現なく経過良好｜ふらつきや倦怠感などの自覚症状なく安定して服用できている｜発疹やアレルギー症状等の異常なく服用継続できている
1139017,ブリーバラセタム,眠気やふらつきなどの自覚症状なく経過良好｜不眠やイライラ感などの精神神経系の副作用の訴えなく安定して服用中｜特記すべき副作用の出現なく服薬継続に問題なし｜眠気等の注意力が低下する副作用の発現なく日常生活を過ごされている
1139100,フェニトイン・フェノバルビタール,発作の再発なく安定して経過している｜眠気やふらつきなどの自覚症状なく継続に問題なし｜服薬の飲み忘れなく血中濃度は維持できていると考えられる｜定期的な検査により治療域でコントロールされていることを確認済み
1139103,フェニトイン・フェノバルビタール配合剤,発作の出現なく経過しており安定している｜眠気やふらつきなどの自覚症状なく継続に問題なし｜服薬の飲み忘れなく発作コントロール良好である｜ふらつきや運動失調などの副作用兆候なく継続できている
1139104,フェニトイン・フェノバルビタール配合剤,発作の出現なく経過しており安定している｜眠気やふらつきなどの自覚症状なく継続に問題なし｜服薬の飲み忘れなく発作コントロール良好である｜ふらつきや運動失調などの副作用兆候なく継続できている
1139105,フェニトイン・フェノバルビタール配合剤,発作の出現なく経過しており安定している｜眠気やふらつきなどの自覚症状なく継続に問題なし｜服薬の飲み忘れなく発作コントロール良好である｜ふらつきや運動失調などの副作用兆候なく継続できている
1139400,フェノバルビタールナトリウム,眠気やふらつきなどの副作用発現なく経過良好｜過度な鎮静や日中の傾眠傾向なく服用継続に支障なし｜てんかん発作の頻度に変化なく安定して経過している｜ふらつきによる転倒の訴えなく服用継続に問題なし
1139401,ミダゾラム,過度な眠気やふらつきの訴えなく日常生活を送られている｜呼吸抑制や意識レベルの低下などの副作用徴候を認めず経過良好｜口腔内乾燥や構音障害などの自覚症状なく安定して継続できている｜日中の過度な眠気などの持ち越し効果なく経過良好
1139402,レベチラセタム,てんかん発作の再発なく経過は安定している｜眠気やふらつきなどの副作用症状の出現なく継続に問題なし｜発作コントロールは良好であり服薬遵守も維持されている｜異常なイライラや攻撃性などの精神症状の出現なく経過良好｜発作の頻度に変化なく現在の服用量で安定して推移している
1139403,ロラゼパム,眠気やふらつきなどの自覚症状なく安定して経過されている｜日中の過度な眠気やふらつきの出現なく安全に継続中｜ふらつきによる転倒の兆候などはなく慎重に服薬継続されている｜過度な鎮静作用や持ち越し効果の訴えはなく問題なく継続できている
1139404,ラコサミド,眠気やめまい等の副作用の訴えなく服用継続中｜発疹等の皮膚症状や体調変化なく経過は良好｜ふらつきや歩行障害などなく安定して経過している｜めまいや傾眠などの自覚症状なく忍容性に問題なし
1139405,ペランパネル水和物,眠気やふらつきなどの自覚症状なく安定して経過している｜易刺激性や攻撃性などの精神症状の出現を認めず安定して服用中｜めまいや歩行時のふらつきなく副作用の発現は認められない｜傾眠傾向などの副作用の訴えなく日常生活を送れている
1139406,ブリーバラセタム,眠気やふらつきなどの自覚症状なく経過良好｜不眠やイライラ感などの精神神経系の副作用の訴えなく安定して服用中｜特記すべき副作用の出現なく服薬継続に問題なし｜眠気等の注意力が低下する副作用の発現なく日常生活を過ごされている
1139700,ミダゾラム,過度な眠気やふらつきの訴えなく日常生活を送られている｜呼吸抑制や意識レベルの低下などの副作用徴候を認めず経過良好｜口腔内乾燥や構音障害などの自覚症状なく安定して継続できている｜日中の過度な眠気などの持ち越し効果なく経過良好
1141001,アセトアミノフェン,発疹や皮膚の赤み等の過敏症状なく経過良好｜眠気等の自覚症状なく常用量にて服用継続中｜他剤との併用による過度な解熱作用等の不都合なく安定して経過｜肝機能低下を示唆する倦怠感や黄疸等の兆候なく継続に問題なし
1141004,フルフェナム酸アルミニウム,胃部不快感や腹痛などの消化器症状の出現なく継続できている｜皮疹や掻痒感などの過敏症症状の出現なく安定して服用中｜内服による胃腸障害の訴えはなく服用は継続可能である｜特段の副作用の自覚症状はなく経過良好である
1141005,メフェナム酸,胃部不快感などの消化器症状の出現なく経過は良好である｜発疹や掻痒感などの皮膚症状を認めず副作用の発現はない｜服用後に胃痛や吐き気などの自覚症状なく継続できている｜継続的な内服により疼痛コントロールは良好であり副作用の訴えもない
1141007,アセトアミノフェン,発疹や皮膚の赤み等の過敏症状なく経過良好｜眠気等の自覚症状なく常用量にて服用継続中｜他剤との併用による過度な解熱作用等の不都合なく安定して経過｜肝機能低下を示唆する倦怠感や黄疸等の兆候なく継続に問題なし
1141400,アセトアミノフェン,発疹や皮膚の赤み等の過敏症状なく経過良好｜眠気等の自覚症状なく常用量にて服用継続中｜他剤との併用による過度な解熱作用等の不都合なく安定して経過｜肝機能低下を示唆する倦怠感や黄疸等の兆候なく継続に問題なし
1141700,アセトアミノフェン,発疹や皮膚の赤み等の過敏症状なく経過良好｜眠気等の自覚症状なく常用量にて服用継続中｜他剤との併用による過度な解熱作用等の不都合なく安定して経過｜肝機能低下を示唆する倦怠感や黄疸等の兆候なく継続に問題なし
1143001,アスピリン,出血傾向やあざ等の皮下出血は見られず経過良好｜胃部不快感や胃痛等の消化器症状の訴えなく継続に問題なし｜発疹や蕁麻疹等の過敏症状の出現なく服用は順調｜服用による副作用の自覚症状は特になく継続できている
1143005,エテンザミド,胃腸障害などの副作用訴えなく服用できている｜眠気やだるさ等の自覚症状はなく経過良好｜用法通り頓服として使用し症状改善を確認した｜過量服用は避け間隔をあけて使用するよう継続指導した
1143400,サリチル酸ナトリウム,胃腸障害の訴えはなく消化器症状の出現にも注意を継続する｜皮膚の発疹や掻痒感などの過敏症状なく安定して経過している｜服用に伴う耳鳴りや難聴などの自覚症状は認められない｜用法用量を遵守し副作用の発現なく良好に継続できている
1144002,イソプロピルアンチピリン,眠気や倦怠感などの自覚症状なく服用できている｜発疹や皮膚の赤み等の過敏症症状の出現なく経過良好｜胃部不快感等の消化器症状の訴えなく問題なく継続中｜服用後の体調に変化なく安定して経過している
1144005,スルピリン水和物,発疹や口内炎などの過敏症状なく経過良好｜胃部不快感や食欲不振などの消化器症状の出現なく継続に問題なし｜眠気やふらつきなどの自覚症状なく安定して服用継続中｜副作用の訴えなく計画通り服用継続中
1144007,ミグレニン,頭痛発作の頻度や鎮痛薬の使用回数に大きな変化なく経過良好｜眠気やふらつきなどの副作用の訴えはなく問題なく継続中｜服用後も胃部不快感や胃痛等の消化器症状の発現は認められず｜過度な服用とならないよう必要時の頓用である旨を再確認し理解良好
1144400,スルピリン水和物,発疹や口内炎などの過敏症状なく経過良好｜胃部不快感や食欲不振などの消化器症状の出現なく継続に問題なし｜眠気やふらつきなどの自覚症状なく安定して服用継続中｜副作用の訴えなく計画通り服用継続中
1145001,インドメタシン,胃部不快感や腹痛などの消化器症状の発現なく経過良好｜皮膚の発疹やかゆみなどの過敏症症状の出現なく使用継続できている｜長期連用による副作用の兆候なく適切に使用されている｜患部の状態に合わせて外用剤の使用継続を確認し問題なし
1145003,アセメタシン,胃腸障害の訴えなく服用できている｜発疹や掻痒感などの皮膚症状なく経過良好｜服用後に特段の体調変化なく継続に問題なし｜眠気やめまい等の自覚症状なく安定している
1145004,プログルメタシンマレイン酸塩,胃部不快感や腹痛などの消化器症状なく経過良好｜発疹やかゆみなどの過敏症症状の出現なく継続に問題なし｜服薬による特段の体調変化や副作用の訴えなく安定して服用中｜胃腸症状などの副作用発現なく継続は適切と判断
1145005,インドメタシン　ファルネシル,胃部不快感や腹痛などの消化器症状の出現なく継続できている｜皮疹や掻痒感などの過敏症症状なく経過良好｜服用による不快感など特になく順調に使用できている｜副作用の訴えはなく患部への鎮痛効果を実感できている
